description,category
MANIPAL HOSPITAL BILL,Healthcare
KFC ONLINE FOOD ORDER,Food & Dining
MANULIFE PREMIUM,Insurance
PEACOCK SUBSCRIPTION,Entertainment
UBER RIDE 83921,Transport
CREDIT REVERSAL,Refund / Cashback
JETBLUE FLIGHT,Travel & Booking
ARGOS ONLINE ORDER,Shopping
EE PHONE BILL,Utilities
Zepto grocery delivery,Groceries
AXA INSURANCE PAYMENT,Insurance
INDIGO AIRLINES TICKET,Travel & Booking
CASHBACK CREDIT,Refund / Cashback
BMO INVESTORLINE,Investments
STARBUCKS COFFEE,Food & Dining
JIO FIBER BILL,Utilities
ZOMATO REFUND,Refund / Cashback
PAYROLL CREDIT,Income
HARGREAVES LANSDOWN,Investments
AMCAL PHARMACY,Healthcare
DELTA AIR LINES TICKET,Travel & Booking
PORTER AIRLINES TICKET,Travel & Booking
SHOPPERS DRUG MART,Healthcare
SKY CINEMA PAYMENT,Entertainment
PHARMEASY MEDICINE PURCHASE,Healthcare
SALARY TRANSFER,Income
REFUND NEFT CREDIT,Refund / Cashback
NETFLIX MONTHLY BILL,Entertainment
NOW TV SUBSCRIPTION,Entertainment
TATA 1MG MEDICINE ORDER,Healthcare
DMart grocery bill,Groceries
VISTARA FLIGHT PAYMENT,Travel & Booking
SALARY CREDIT,Income
SONY LIV SUBSCRIPTION,Entertainment
KOTAK MUTUAL FUND,Investments
MAX HEALTHCARE PAYMENT,Healthcare
UPI CASHBACK,Refund / Cashback
WINNERS STORE PAYMENT,Shopping
WEBJET TRAVEL BOOKING,Travel & Booking
SALARY CREDIT NEFT,Income
CRAVE STREAMING BILL,Entertainment
ESSO FUEL STATION,Transport
AAMI INSURANCE,Insurance
NETFLIX SUBSCRIPTION,Entertainment
PIZZA PIZZA ORDER,Food & Dining
DIRECT DEPOSIT SALARY,Income
ICICI PRUDENTIAL LIFE,Insurance
SPOTIFY FAMILY PLAN,Entertainment
REFUND IMPS CREDIT,Refund / Cashback
